Дата,store_id,item_id,Quantity
2025-03-27,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.2509316902715786
2025-03-28,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.3112716250497796
2025-03-29,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.276850479323239
2025-03-30,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.2972402086439123
2025-03-31,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.3951044963078356
2025-04-01,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.2486231993765307
2025-04-02,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.299844802247199
2025-04-03,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.2945115488198704
2025-04-04,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.3501448286814077
2025-04-05,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.309989913799278
2025-04-06,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.3237880595157803
2025-04-07,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.414397347891248
2025-04-08,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.260211312092367
2025-04-09,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.3035050042304324
2025-04-10,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.290253373169471
2025-04-11,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.3382097332432235
2025-04-12,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.2908436295898205
2025-04-13,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.2981063205056502
2025-04-14,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.383045452582416
2025-04-15,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.2242181502883422
2025-04-16,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.264032345139185
2025-04-17,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.248561348762909
2025-04-18,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.295619559625375
2025-04-19,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.2486986859432263
2025-04-20,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.257732747889476
2025-04-21,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.345713442446983
2025-04-22,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.1911050650352824
2025-04-23,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.236188751542333
2025-04-24,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.2268809516471246
2025-04-25,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.2808139009360726
2025-04-26,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.2412773271577593
2025-04-27,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.2579894862113137
2025-04-28,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.3537189285974627
2025-04-29,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.206705998317898
2025-04-30,jsySHiRm8fJNrz6IubJskA==,jbAAUFaNLXIR6Yt2FTw+Hg==,2.2590136320427003
