Дата,store_id,grouptxt,item_id,Quantity
2025-03-16,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.786524815287902
2025-03-17,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.771366727598881
2025-03-18,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.6809216541091736
2025-03-19,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.5768321213958725
2025-03-20,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.6641865650314243
2025-03-21,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.6542331179754424
2025-03-22,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.5646484153074383
2025-03-23,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.687380060635704
2025-03-24,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.6716233315902875
2025-03-25,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.5822642047225215
2025-03-26,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.480879568550912
2025-03-27,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.5724459733573273
2025-03-28,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.5680573934916024
2025-03-29,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.485199144417058
2025-03-30,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.615596437494647
2025-03-31,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.608197962354826
2025-04-01,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.527626370134586
2025-04-02,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.435186305981413
